"refx";"refy";"posx";"posy";"diffx";"diffy";"type"
10980;9012.5;10980.01433;9012.481629;0.014331404;-0.018371169;"REG_MARK"
10980;73512.5;10980.00939;73512.48417;0.009388938;-0.015825201;"REG_MARK"
10980;143387.5;10980.0046;143387.4904;0.004598393;-0.009605723;"REG_MARK"
70765;9012.5;70765.02342;9012.48491;0.023417972;-0.01508998;"REG_MARK"
70765;73512.5;70765.01598;73512.48632;0.015976462;-0.013680769;"REG_MARK"
70765;143387.5;70765.00942;143387.4931;0.009415404;-0.006922828;"REG_MARK"
141420;143387.5;141420.0136;143387.4894;0.013565318;-0.010593097;"REG_MARK"
141420;73512.5;141420.0296;73512.48674;0.029561384;-0.013264533;"REG_MARK"
141420;9012.5;141420.0271;9012.481002;0.027053028;-0.018998468;"REG_MARK"
5425;13925;5425.005025;13924.99281;0.005025412;-0.00719107;"ALIGN"
146975;13925;146975.0303;13924.99238;0.030283249;-0.007619598;"ALIGN"